JAMES,3.318,4840833,1
JOHN,3.271,4772262,2
ROBERT,3.143,4585515,3
MICHAEL,2.629,3835609,4
WILLIAM,2.451,3575914,5
DAVID,2.363,3447525,6
RICHARD,1.703,2484611,7
CHARLES,1.523,2221998,8
JOSEPH,1.404,2048382,9
THOMAS,1.38,2013366,10
CHRISTOPHER,1.035,1510025,11
DANIEL,0.974,1421028,12
PAUL,0.948,1383095,13
MARK,0.938,1368506,14
DONALD,0.931,1358293,15
GEORGE,0.927,1352457,16
KENNETH,0.826,1205102,17
STEVEN,0.78,1137990,18
EDWARD,0.779,1136531,19
BRIAN,0.736,1073795,20
RONALD,0.725,1057747,21
ANTHONY,0.721,1051911,22
KEVIN,0.671,978963,23
JASON,0.66,962914,24
MATTHEW,0.657,958538,25
GARY,0.65,948325,26
TIMOTHY,0.64,933735,27
JOSE,0.613,894343,28
LARRY,0.598,872459,29
JEFFREY,0.591,862246,30
FRANK,0.581,847656,31
SCOTT,0.546,796593,32
ERIC,0.544,793675,33
STEPHEN,0.54,787839,34
ANDREW,0.537,783462,35
RAYMOND,0.488,711973,36
GREGORY,0.441,643402,37
JOSHUA,0.435,634648,38
JERRY,0.432,630271,39
DENNIS,0.415,605469,40
WALTER,0.399,582126,41
PATRICK,0.389,567536,42
PETER,0.381,555864,43
HAROLD,0.371,541275,44
DOUGLAS,0.367,535439,45
HENRY,0.365,532521,46
CARL,0.346,504801,47
ARTHUR,0.335,488752,48
RYAN,0.328,478539,49
ROGER,0.322,469786,50
JOE,0.321,468327,51
JUAN,0.316,461032,52
JACK,0.315,459573,53
ALBERT,0.314,458114,54
JONATHAN,0.313,456655,55
JUSTIN,0.311,453737,56
TERRY,0.311,453737,57
GERALD,0.309,450819,58
KEITH,0.308,449360,59
SAMUEL,0.306,446442,60
WILLIE,0.302,440606,61
LAWRENCE,0.282,411427,63
RALPH,0.282,411427,62
NICHOLAS,0.275,401214,64
ROY,0.273,398296,65
BENJAMIN,0.27,393920,66
BRUCE,0.263,383707,67
BRANDON,0.26,379330,68
ADAM,0.259,377871,69
FRED,0.251,366199,71
HARRY,0.251,366199,70
WAYNE,0.249,363281,72
BILLY,0.248,361822,73
STEVE,0.246,358904,74
LOUIS,0.243,354528,75
JEREMY,0.242,353069,76
AARON,0.24,350151,77
RANDY,0.232,338479,78
EUGENE,0.23,335561,80
HOWARD,0.23,335561,79
CARLOS,0.229,334102,81
RUSSELL,0.224,326807,82
BOBBY,0.223,325348,83
VICTOR,0.222,323889,84
MARTIN,0.216,315136,85
ERNEST,0.215,313677,86
PHILLIP,0.213,310759,87
TODD,0.213,310759,88
JESSE,0.209,304923,89
CRAIG,0.206,300546,90
ALAN,0.204,297628,91
SHAWN,0.2,291792,92
CHRIS,0.197,287415,96
CLARENCE,0.197,287415,93
PHILIP,0.197,287415,95
SEAN,0.197,287415,94
JOHNNY,0.195,284497,97
EARL,0.193,281580,98
JIMMY,0.191,278662,99
ANTONIO,0.19,277203,100
BRYAN,0.19,277203,102
DANNY,0.19,277203,101
TONY,0.19,277203,103
LUIS,0.189,275744,104
MIKE,0.189,275744,105
LEONARD,0.186,271367,107
STANLEY,0.186,271367,106
NATHAN,0.185,269908,108
DALE,0.184,268449,109
MANUEL,0.181,264072,110
CURTIS,0.18,262613,112
RODNEY,0.18,262613,111
NORMAN,0.177,258236,113
ALLEN,0.174,253859,114
MARVIN,0.171,249482,115
VINCENT,0.168,245105,116
GLENN,0.167,243647,117
JEFF,0.166,242188,120
JEFFERY,0.166,242188,118
TRAVIS,0.166,242188,119
CHAD,0.165,240729,121
JACOB,0.165,240729,122
ALFRED,0.162,236352,125
LEE,0.162,236352,123
MELVIN,0.162,236352,124
FRANCIS,0.16,233434,127
KYLE,0.16,233434,126
BRADLEY,0.159,231975,128
HERBERT,0.155,226139,130
JESUS,0.155,226139,129
FREDERICK,0.154,224680,131
RAY,0.153,223221,132
JOEL,0.152,221762,133
EDWIN,0.148,215926,134
DON,0.145,211549,135
EDDIE,0.144,210090,136
RICKY,0.141,205714,137
RANDALL,0.138,201337,139
TROY,0.138,201337,138
BARRY,0.134,195501,140
ALEXANDER,0.132,192583,141
BERNARD,0.127,185288,142
LEROY,0.125,182370,144
MARIO,0.125,182370,143
FRANCISCO,0.124,180911,145
MARCUS,0.124,180911,146
CLIFFORD,0.123,179452,149
MICHEAL,0.123,179452,147
THEODORE,0.123,179452,148
MIGUEL,0.122,177993,150
OSCAR,0.122,177993,151
JAY,0.118,172157,152
JIM,0.118,172157,153
TOM,0.117,170698,154
ALEX,0.115,167781,156
CALVIN,0.115,167781,155
JON,0.115,167781,157
RONNIE,0.113,164863,158
BILL,0.112,163404,159
DEREK,0.112,163404,163
LEON,0.112,163404,162
LLOYD,0.112,163404,160
TOMMY,0.112,163404,161
WARREN,0.11,160486,164
DARRELL,0.108,157568,165
JEROME,0.108,157568,166
FLOYD,0.107,156109,167
LEO,0.106,154650,168
ALVIN,0.105,153191,169
DEAN,0.104,151732,173
GORDON,0.104,151732,172
GREG,0.104,151732,174
JORGE,0.104,151732,175
TIM,0.104,151732,170
WESLEY,0.104,151732,171
DERRICK,0.103,150273,178
DUSTIN,0.103,150273,176
PEDRO,0.103,150273,177
DAN,0.101,147355,179
LEWIS,0.099,144437,180
ZACHARY,0.099,144437,181
COREY,0.098,142978,182
HERMAN,0.097,141519,183
MAURICE,0.097,141519,184
ROBERTO,0.097,141519,186
VERNON,0.097,141519,185
CLYDE,0.095,138601,187
GLEN,0.094,137142,188
HECTOR,0.094,137142,189
RICARDO,0.093,135683,191
SHANE,0.093,135683,190
SAM,0.092,134224,192
LESTER,0.091,132765,194
RICK,0.091,132765,193
BRENT,0.09,131307,195
CHARLIE,0.09,131307,197
RAMON,0.09,131307,196
GILBERT,0.089,129848,199
TYLER,0.089,129848,198
GENE,0.087,126930,200
MARC,0.087,126930,201
REGINALD,0.084,122553,202
ANGEL,0.082,119635,205
BRETT,0.082,119635,204
RUBEN,0.082,119635,203
LESLIE,0.081,118176,208
NATHANIEL,0.081,118176,206
RAFAEL,0.081,118176,207
EDGAR,0.08,116717,209
MILTON,0.08,116717,210
RAUL,0.079,115258,211
BEN,0.078,113799,212
CECIL,0.078,113799,214
CHESTER,0.078,113799,213
DUANE,0.077,112340,215
FRANKLIN,0.077,112340,216
ANDRE,0.076,110881,217
ELMER,0.074,107963,218
BRAD,0.073,106504,219
GABRIEL,0.073,106504,220
ARNOLD,0.072,105045,224
HARVEY,0.072,105045,225
MITCHELL,0.072,105045,222
ROLAND,0.072,105045,223
RON,0.072,105045,221
JARED,0.071,103586,226
ADRIAN,0.069,100668,227
KARL,0.069,100668,228
CLAUDE,0.068,99209,230
CORY,0.068,99209,229
ERIK,0.068,99209,231
DARRYL,0.067,97750,232
JAMIE,0.066,96291,233
NEIL,0.066,96291,234
CHRISTIAN,0.065,94832,236
CLINTON,0.065,94832,239
FERNANDO,0.065,94832,238
JAVIER,0.065,94832,237
JESSIE,0.065,94832,235
DARREN,0.064,93374,243
LONNIE,0.064,93374,244
MATHEW,0.064,93374,241
TED,0.064,93374,240
TYRONE,0.064,93374,242
CODY,0.063,91915,246
JULIO,0.063,91915,247
KELLY,0.063,91915,248
LANCE,0.063,91915,245
KURT,0.062,90456,249
ALLAN,0.061,88997,250
NELSON,0.061,88997,251
CLAYTON,0.06,87538,253
GUY,0.06,87538,252
HUGH,0.06,87538,254
DWAYNE,0.059,86079,256
MAX,0.059,86079,255
ARMANDO,0.058,84620,258
DWIGHT,0.058,84620,257
FELIX,0.058,84620,259
JIMMIE,0.058,84620,260
EVERETT,0.057,83161,261
IAN,0.056,81702,263
JORDAN,0.056,81702,262
WALLACE,0.056,81702,264
BOB,0.055,80243,266
JAIME,0.055,80243,267
KEN,0.055,80243,265
ALFREDO,0.054,78784,269
CASEY,0.054,78784,268
ALBERTO,0.053,77325,270
DAVE,0.053,77325,271
IVAN,0.053,77325,272
BYRON,0.052,75866,275
JOHNNIE,0.052,75866,273
JULIAN,0.052,75866,276
SIDNEY,0.052,75866,274
ISAAC,0.051,74407,277
MORRIS,0.051,74407,278
CLIFTON,0.05,72948,279
DARYL,0.05,72948,281
ROSS,0.05,72948,282
WILLARD,0.05,72948,280
ANDY,0.049,71489,284
KIRK,0.049,71489,288
MARSHALL,0.049,71489,285
PERRY,0.049,71489,287
SALVADOR,0.049,71489,286
SERGIO,0.049,71489,289
VIRGIL,0.049,71489,283
KENT,0.048,70030,293
MARION,0.048,70030,290
RENE,0.048,70030,295
SETH,0.048,70030,292
TERRANCE,0.048,70030,294
TRACY,0.048,70030,291
EDUARDO,0.047,68571,296
TERRENCE,0.047,68571,297
ENRIQUE,0.046,67112,298
FREDDIE,0.046,67112,299
WADE,0.045,65653,300
AUSTIN,0.044,64194,301
STUART,0.044,64194,302
ALEJANDRO,0.043,62735,305
ARTURO,0.043,62735,304
FREDRICK,0.043,62735,303
JACKIE,0.043,62735,306
JOEY,0.043,62735,307
LUTHER,0.043,62735,309
NICK,0.043,62735,308
DANA,0.042,61276,314
EVAN,0.042,61276,312
JEREMIAH,0.042,61276,311
JULIUS,0.042,61276,313
WENDELL,0.042,61276,310
DONNIE,0.041,59817,315
OTIS,0.041,59817,316
DOUG,0.04,58358,323
GERARD,0.04,58358,322
HOMER,0.04,58358,321
LUKE,0.04,58358,320
OLIVER,0.04,58358,319
SHANNON,0.04,58358,317
TREVOR,0.04,58358,318
ANGELO,0.039,56899,326
HUBERT,0.039,56899,325
KENNY,0.039,56899,324
SHAUN,0.039,56899,327
ALFONSO,0.038,55441,331
LYLE,0.038,55441,328
LYNN,0.038,55441,330
MATT,0.038,55441,329
CAMERON,0.037,53982,336
CARLTON,0.037,53982,334
ERNESTO,0.037,53982,335
NEAL,0.037,53982,337
ORLANDO,0.037,53982,332
REX,0.037,53982,333
BLAKE,0.036,52523,342
GRANT,0.036,52523,343
HORACE,0.036,52523,344
KERRY,0.036,52523,346
LORENZO,0.036,52523,339
OMAR,0.036,52523,340
PABLO,0.036,52523,338
RODERICK,0.036,52523,345
WILBUR,0.036,52523,341
ABRAHAM,0.035,51064,347
IRA,0.035,51064,351
JEAN,0.035,51064,350
RICKEY,0.035,51064,349
WILLIS,0.035,51064,348
ANDRES,0.034,49605,352
CESAR,0.034,49605,353
DAMON,0.034,49605,357
JOHNATHAN,0.034,49605,354
KELVIN,0.034,49605,358
